"Step","exp_name: gpt_video_cons_npred - obs_loss","exp_name: gpt_video_cons_npred - obs_loss__MIN","exp_name: gpt_video_cons_npred - obs_loss__MAX","exp_name: gpt_video_cons_nproj - obs_loss","exp_name: gpt_video_cons_nproj - obs_loss__MIN","exp_name: gpt_video_cons_nproj - obs_loss__MAX","exp_name: gpt_video_cons_nproj_npred - obs_loss","exp_name: gpt_video_cons_nproj_npred - obs_loss__MIN","exp_name: gpt_video_cons_nproj_npred - obs_loss__MAX","exp_name: gpt_video_cons - obs_loss","exp_name: gpt_video_cons - obs_loss__MIN","exp_name: gpt_video_cons - obs_loss__MAX"
"0","2.009805000745333","1.9582592248916626","2.035820722579956","1.9807017353864818","1.922959804534912","2.087388753890991","2.0461046512310324","1.9575459957122803","2.1587748527526855","1.9983085610649802","1.9494545459747314","2.058945894241333"
"1000","0.21577458150025744","0.10084315791353583","0.338385849237442","0.04427532570614802","0.014570689445361495","0.1092234359504655","0.02252564802209795","0.011103257505281362","0.044148502584546806","0.3340031256692653","0.11234427623450756","0.7980609336495399"
"2000","0.1265364914281437","0.053064922250807285","0.22079927758872508","0.04170623642649353","0.002802461877989117","0.16809614335838705","0.008125729721051146","0.00007185946737445193","0.030411347292363642","0.16822525286759166","0.05749362693727016","0.46708270061016083"
"3000","0.1171661089806316","0.032175504665821794","0.193933625921607","0.040778438198633166","0.00032420640409691257","0.23339284541271627","0.0071030038489569465","0.00006297717881534482","0.07703844365105032","0.12260316793518987","0.056922685958445074","0.228737380027771"
"4000","0.1118856452375364","0.02884093426540494","0.18782691279798747","0.022906528449697913","0.0003106124329060549","0.12094931619241833","0.006443168982217125","0.0000603233254623774","0.12071475149691105","0.10632859670167619","0.0469990271627903","0.19182568258047103"
"5000","0.10651500840678521","0.02571584714576602","0.17574373955279587","0.031181968328938006","0.0003110446125356248","0.19753154036821796","0.010271853000776902","0.00005125775151827838","0.14507477439194919","0.0984093972361562","0.03984810322895646","0.1790171603113413"
"6000","0.1006320965554422","0.02370336540788412","0.16449442856013774","0.025920308245374207","0.00004035605263197794","0.29129091783985495","0.014950624387090728","0.000048567414876742984","0.1568611590191722","0.09008978826137767","0.0337423181515187","0.17557075971364974"
"7000","0.09482025845936286","0.023134268578141926","0.16768915012478827","0.023754164814899295","0.000036135098518570884","0.1666931375488639","0.025621935801447622","0.00004884921581833623","0.16249089621007443","0.08413590016740967","0.030321611741557716","0.1754195460677147"
"8000","0.08852872926183043","0.022642680862918495","0.17255651904642583","0.017685957169148073","0.00003299247907125391","0.13822594387456774","0.03025004522156311","0.00005226367678551469","0.1806336873024702","0.07941898702423679","0.02754810146987438","0.18015386027097702"
"9000","0.08406925658304963","0.015865335907787083","0.17291732440888882","0.017406761808500256","0.00003089878688660974","0.08866838561929763","0.03536498697179922","0.00006059405782434624","0.19422476294636726","0.0758577729955485","0.02399144928343594","0.18152169160544873"
"10000","0.07962405003485486","0.012545044465921818","0.17210953222215175","0.01785266515141316","0.00002962762163770094","0.13456088714615907","0.03951803971007058","0.00008122132527932991","0.20434098571538925","0.07238448053602638","0.02055510534811765","0.18392077572643756"
"11000","0.07641418632624958","0.010626968362368643","0.17046382768452167","0.016389654870227647","0.00002863390723905468","0.1581468204241246","0.03853230132665605","0.00008889782788901357","0.2218467624038458","0.07127573261354964","0.01768847310449928","0.18987067866325377"
"12000","0.073982891393109","0.009358769637066871","0.1674595562815666","0.015091397301118236","0.00002774222015432315","0.11486996704293415","0.03830893761541876","0.00011648617022001417","0.22779387213289737","0.06752645083063877","0.01615397228207439","0.19536825208365918"
"13000","0.07136617969320372","0.00843948674434796","0.16567998573184015","0.016667096785330758","0.000027301130361593097","0.08156078546866774","0.04022088961409086","0.00012629234915220876","0.23583540716767312","0.06604369452625344","0.015054047807119787","0.2007623058706522"
"14000","0.06888827655772466","0.0071112107597291465","0.16389031310379504","0.011812272442533165","0.000026617456538588156","0.0774333386644721","0.04013489669496728","0.00010332496677074232","0.2322604242116213","0.06463137973540209","0.013602292970754206","0.20596153442561627"
"15000","0.0675774603135651","0.00620335522457026","0.1639192951321602","0.015184590832516245","0.000026178864953180893","0.10690678258665139","0.04366682407792723","0.00005604494490034995","0.23663178388774395","0.0625059810989875","0.01243316265847534","0.21452431561052798"
"16000","0.0667732458594882","0.005615468642907217","0.16297273632884027","0.02454612831524257","0.00002588730857860355","0.11862559029459953","0.04370108684590517","0.00006086725507338997","0.23534322568774224","0.06152487284381112","0.012166721349582075","0.21866416919231416"
"17000","0.06595178969537555","0.005232141614425928","0.16192685474455357","0.013725136571954651","0.00002554698057610949","0.08265029055997729","0.041604432650524985","0.00005649287480628118","0.21962846122682095","0.060888204070125636","0.01140999893238768","0.223764280423522"
"18000","0.06425484824948945","0.004831488697789609","0.1609273242354393","0.01910896667403505","0.0000252320206764125","0.12626122454577127","0.04424085022325016","0.00006571411152981455","0.20652736812829972","0.05818838087634437","0.011209981177002191","0.2239701741039753"
"19000","0.06267561096961324","0.004575415326748043","0.16046063989400863","0.01509134743588318","0.00002492328091466334","0.09055504072830081","0.04048927662152164","0.000056148572974052514","0.19314917892217637","0.05571267301834781","0.010770323988050222","0.22859148374199867"
"20000","0.062241313912825155","0.004327314947033301","0.1594601389169693","0.015791505501996584","0.000024810208058624994","0.09275671102851629","0.0347494368119194","0.000057830312183796196","0.1850264463722706","0.05472245390241204","0.010838918875437229","0.23041111969947814"
"21000","0.061720122676709885","0.004233436871320009","0.15896921275556086","0.013801237797577557","0.000024605262658951686","0.11872249246574938","0.035281506537708014","0.00005846072610438568","0.19516169294714927","0.05303507086687551","0.010902651110198348","0.22893007090687753"
"22000","0.061186123225354376","0.00406883803079836","0.15961926195025444","0.012273924888225197","0.0000245854161803436","0.10792434477992356","0.03538845175586357","0.00006061299100474571","0.17687808237224817","0.05202609858128495","0.010715805693529546","0.2281675547361374"
"23000","0.05923152718134673","0.003969143578666262","0.16057454167306423","0.01234030943513321","0.00002461933599443","0.09034941578283906","0.03435384897826072","0.00006269460010298645","0.15851094208657743","0.05089339305460454","0.010288085010834037","0.226986642152071"
"23437","0.05822680018001844","0.003739342129246733","0.15936045331555768","0.013091938209228686","0.000024387232002448674","0.15844999980864996","0.030248157121991914","0.00006594997418495941","0.13937941419148664","0.05126946535703451","0.011090141159285782","0.22712820518864404"
"24000","0.05779135761400763","0.0037209342526113415","0.15846729402740797","0.009871276894267792","0.000024440116142594636","0.09335349756458126","0.028452196384644617","0.00007034015008865555","0.13161649033163034","0.0506401736968765","0.010696610818940697","0.22513973287551114"
